Movimiento,Fecha,Cuenta,NoCuenta,Debe,Haber,Entidad
BILL/2017/0004,2017-10-03,Proveedores (euros),400000,0.0,30.0,Jamie Arnold
BILL/2017/0004,2017-10-03,Hacienda Pública. IVA soportado,472000,5.21,0.0,Jamie Arnold
BILL/2017/0004,2017-10-03,Otros servicios,629000,24.79,0.0,Jamie Arnold
CSH1/2017/0003,2017-10-03,Cash,570001,0.0,34.65,Jamie Arnold
CSH1/2017/0003,2017-10-03,Proveedores (euros),400000,34.65,0.0,Jamie Arnold
BILL/2017/0002,2017-10-03,Proveedores (euros),400000,0.0,34.65,Jamie Arnold
BILL/2017/0002,2017-10-03,Hacienda Pública. IVA soportado,472000,6.01,0.0,Jamie Arnold
BILL/2017/0002,2017-10-03,Otros servicios,629000,28.64,0.0,Jamie Arnold
CSH1/2017/0004,2017-10-03,Cash,570001,0.0,39.97,Jamie Arnold
CSH1/2017/0004,2017-10-03,Proveedores (euros),400000,39.97,0.0,Jamie Arnold
BILL/2017/0003,2017-10-03,Proveedores (euros),400000,0.0,39.97,Jamie Arnold
BILL/2017/0003,2017-10-03,Hacienda Pública. IVA soportado,472000,6.94,0.0,Jamie Arnold
BILL/2017/0003,2017-10-03,Otros servicios,629000,33.03,0.0,Jamie Arnold
BNK1/2017/0083,2017-10-04,Cash,570001,0.0,21.97,Lisa Hensley
BNK1/2017/0083,2017-10-04,Acreedores por prestaciones de servicios (euros),410000,21.97,0.0,Lisa Hensley
BILL/2017/0067,2017-10-04,Acreedores por prestaciones de servicios (euros),410000,0.0,21.97,Lisa Hensley
BILL/2017/0067,2017-10-04,"Hacienda Pública, acreedora por retenciones practicadas",475100,0.0,3.11,Lisa Hensley
BILL/2017/0067,2017-10-04,Hacienda Pública. IVA soportado,472000,4.3500000000000005,0.0,Lisa Hensley
BILL/2017/0067,2017-10-04,Reservas voluntarias,113000,20.73,0.0,Lisa Hensley
T1740002,2017-10-04,Clientes (euros),430000,760.0,0.0,Michele Williams
T1740002,2017-10-04,Hacienda Pública. IVA repercutido,477000,0.0,131.9,Michele Williams
T1740002,2017-10-04,Prestaciones de servicios en España,705000,0.0,628.1,Michele Williams
T1740001,2017-10-04,Clientes (euros),430000,1321.32,0.0,Dylan Miller
T1740001,2017-10-04,Hacienda Pública. IVA repercutido,477000,0.0,229.32,Dylan Miller
T1740001,2017-10-04,Prestaciones de servicios en España,705000,0.0,142.0,Dylan Miller
T1740001,2017-10-04,Prestaciones de servicios en España,705000,0.0,950.0,Dylan Miller
CSH1/2017/0007,2017-10-05,Cash,570001,0.0,209.08,Lisa Hensley
CSH1/2017/0007,2017-10-05,Acreedores por prestaciones de servicios (euros),410000,209.08,0.0,Lisa Hensley
BILL/2017/0006,2017-10-05,Acreedores por prestaciones de servicios (euros),410000,0.0,209.08,Lisa Hensley
BILL/2017/0006,2017-10-05,"Hacienda Pública, acreedora por retenciones practicadas",475100,0.0,21.55,Lisa Hensley
BILL/2017/0006,2017-10-05,Hacienda Pública. IVA soportado,472000,30.17,0.0,Lisa Hensley
BILL/2017/0006,2017-10-05,Reservas voluntarias,113000,56.8,0.0,Lisa Hensley
BILL/2017/0006,2017-10-05,Reservas voluntarias,113000,143.66,0.0,Lisa Hensley
CSH1/2017/0006,2017-10-06,Cash,570001,0.0,16.94,Brian Ramirez
CSH1/2017/0006,2017-10-06,Proveedores (euros),400000,16.94,0.0,Brian Ramirez
BILL/2017/0005,2017-10-06,Proveedores (euros),400000,0.0,16.94,Brian Ramirez
BILL/2017/0005,2017-10-06,Hacienda Pública. IVA soportado,472000,2.94,0.0,Brian Ramirez
BILL/2017/0005,2017-10-06,Otros servicios,629000,14.0,0.0,Brian Ramirez
BNK1/2017/0055,2017-10-06,Cash,570001,0.0,1.85,Cristian Santos
BNK1/2017/0055,2017-10-06,BBVA,572001,1.85,0.0,Cristian Santos
BILL/2017/0007,2017-10-10,Acreedores por prestaciones de servicios (euros),410000,0.0,769.9,Holly Wood
BILL/2017/0007,2017-10-10,Hacienda Pública. IVA soportado,472000,133.62,0.0,Holly Wood
BILL/2017/0007,2017-10-10,Servicios de profesionales independientes,623000,636.28,0.0,Holly Wood
BILL/2017/0031,2017-10-10,Proveedores (euros),400000,0.0,16.900000000000002,Derek Zuniga
BILL/2017/0031,2017-10-10,Hacienda Pública. IVA soportado,472000,2.93,0.0,Derek Zuniga
BILL/2017/0031,2017-10-10,Otros servicios,629000,13.97,0.0,Derek Zuniga
BNK1/2017/0007,2017-10-11,BBVA,572001,40.0,0.0,Lisa Jackson
BNK1/2017/0007,2017-10-11,Clientes (euros),430000,0.0,40.0,Lisa Jackson
BNK1/2017/0002,2017-10-12,BBVA,572001,375.1,0.0,Connie Lawrence
BNK1/2017/0002,2017-10-12,Clientes (euros),430000,0.0,375.1,Connie Lawrence
BNK1/2017/0001,2017-10-12,BBVA,572001,760.0,0.0,Michele Williams
BNK1/2017/0001,2017-10-12,Clientes (euros),430000,0.0,760.0,Michele Williams
BILL/2017/0030,2017-10-16,Proveedores (euros),400000,0.0,47.96,Carla Gray
BILL/2017/0030,2017-10-16,Hacienda Pública. IVA soportado,472000,8.32,0.0,Carla Gray
BILL/2017/0030,2017-10-16,Otros servicios,629000,39.64,0.0,Carla Gray
T1742001,2017-10-16,Clientes (euros),430000,40.0,0.0,Lisa Jackson
T1742001,2017-10-16,Hacienda Pública. IVA repercutido,477000,0.0,6.94,Lisa Jackson
T1742001,2017-10-16,Prestaciones de servicios en España,705000,0.0,33.06,Lisa Jackson
BNK1/2017/0008,2017-10-17,BBVA,572001,30.0,0.0,Margaret Hawkins DDS
BNK1/2017/0008,2017-10-17,Clientes (euros),430000,0.0,30.0,Margaret Hawkins DDS
T1742004,2017-10-17,Clientes (euros),430000,30.0,0.0,Margaret Hawkins DDS
T1742004,2017-10-17,Hacienda Pública. IVA repercutido,477000,0.0,5.21,Margaret Hawkins DDS
T1742004,2017-10-17,Prestaciones de servicios en España,705000,0.0,24.79,Margaret Hawkins DDS
T1742003,2017-10-17,Clientes (euros),430000,116.5,0.0,Patty Perez
T1742003,2017-10-17,Prestaciones de servicios Intracomunitarias,705100,0.0,116.5,Patty Perez
T1742002,2017-10-17,Clientes (euros),430000,163.35,0.0,Ethan Adams
T1742002,2017-10-17,Hacienda Pública. IVA repercutido,477000,0.0,28.35,Ethan Adams
T1742002,2017-10-17,Prestaciones de servicios en España,705000,0.0,35.0,Ethan Adams
T1742002,2017-10-17,Prestaciones de servicios en España,705000,0.0,35.0,Ethan Adams
T1742002,2017-10-17,Prestaciones de servicios en España,705000,0.0,65.0,Ethan Adams
BNK1/2017/0006,2017-10-18,BBVA,572001,1321.32,0.0,Dylan Miller
BNK1/2017/0006,2017-10-18,Clientes (euros),430000,0.0,1321.32,Dylan Miller
CSH1/2017/0001,2017-10-18,Cash,570001,163.35,0.0,Ethan Adams
CSH1/2017/0001,2017-10-18,Clientes (euros),430000,0.0,163.35,Ethan Adams
CSH1/2017/0008,2017-10-19,Cash,570001,116.5,0.0,Patty Perez
CSH1/2017/0008,2017-10-19,Clientes (euros),430000,0.0,116.5,Patty Perez
BNK1/2017/0005,2017-10-20,BBVA,572001,0.0,636.28,Holly Wood
BNK1/2017/0005,2017-10-20,Acreedores por prestaciones de servicios (euros),410000,636.28,0.0,Holly Wood
BNK1/2017/0010,2017-10-20,BBVA,572001,0.0,30.72,Tommy Walter
BNK1/2017/0010,2017-10-20,"Hacienda Pública, acreedora por retenciones practicadas",475100,30.72,0.0,Tommy Walter
BNK1/2017/0011,2017-10-20,BBVA,572001,0.0,22.09,Tommy Walter
BNK1/2017/0011,2017-10-20,"Hacienda Pública, acreedora por IVA",475000,22.09,0.0,Tommy Walter
BNK1/2017/0009,2017-10-20,BBVA,572001,45.0,0.0,Margaret Hawkins DDS
BNK1/2017/0009,2017-10-20,Clientes (euros),430000,0.0,45.0,Margaret Hawkins DDS
T1742005,2017-10-20,Clientes (euros),430000,45.0,0.0,Margaret Hawkins DDS
T1742005,2017-10-20,Hacienda Pública. IVA repercutido,477000,0.0,7.81,Margaret Hawkins DDS
T1742005,2017-10-20,Prestaciones de servicios en España,705000,0.0,37.19,Margaret Hawkins DDS
CSH1/2017/0011,2017-10-23,Cash,570001,60.5,0.0,Matthew Foster
CSH1/2017/0011,2017-10-23,Clientes (euros),430000,0.0,60.5,Matthew Foster
CSH1/2017/0010,2017-10-23,Cash,570001,24.2,0.0,Ethan Adams
CSH1/2017/0010,2017-10-23,Clientes (euros),430000,0.0,24.2,Ethan Adams
T1743004,2017-10-23,Clientes (euros),430000,70.0,0.0,Michele Williams
T1743004,2017-10-23,Hacienda Pública. IVA repercutido,477000,0.0,12.15,Michele Williams
T1743004,2017-10-23,Prestaciones de servicios en España,705000,0.0,57.85,Michele Williams
T1743003,2017-10-23,Clientes (euros),430000,60.5,0.0,Matthew Foster
T1743003,2017-10-23,Hacienda Pública. IVA repercutido,477000,0.0,10.5,Matthew Foster
T1743003,2017-10-23,Prestaciones de servicios en España,705000,0.0,50.0,Matthew Foster
T1743002,2017-10-23,Clientes (euros),430000,24.2,0.0,Ethan Adams
T1743002,2017-10-23,Hacienda Pública. IVA repercutido,477000,0.0,4.2,Ethan Adams
T1743002,2017-10-23,Prestaciones de servicios en España,705000,0.0,20.0,Ethan Adams
CSH1/2017/0009,2017-10-23,Cash,570001,35.0,0.0,Margaret Hawkins DDS
CSH1/2017/0009,2017-10-23,Clientes (euros),430000,0.0,35.0,Margaret Hawkins DDS
T1743001,2017-10-23,Clientes (euros),430000,70.0,0.0,Margaret Hawkins DDS
T1743001,2017-10-23,Hacienda Pública. IVA repercutido,477000,0.0,12.15,Margaret Hawkins DDS
T1743001,2017-10-23,Prestaciones de servicios en España,705000,0.0,57.85,Margaret Hawkins DDS
T1743005,2017-10-24,Clientes (euros),430000,90.0,0.0,Patty Perez
T1743005,2017-10-24,Prestaciones de servicios Intracomunitarias,705100,0.0,90.0,Patty Perez
CSH1/2017/0015,2017-10-26,Cash,570001,0.0,15.51,Judy Baker
CSH1/2017/0015,2017-10-26,Acreedores por prestaciones de servicios (euros),410000,15.51,0.0,Judy Baker
BILL/2017/0009,2017-10-26,Acreedores por prestaciones de servicios (euros),410000,0.0,15.51,Judy Baker
BILL/2017/0009,2017-10-26,Hacienda Pública. IVA soportado,472000,2.69,0.0,Judy Baker
BILL/2017/0009,2017-10-26,Transportes,624000,12.82,0.0,Judy Baker
BNK1/2017/0015,2017-10-26,BBVA,572001,383.0,0.0,Justin Baker
BNK1/2017/0015,2017-10-26,Clientes (euros),430000,0.0,383.0,Justin Baker
T1743007,2017-10-26,Clientes (euros),430000,766.0,0.0,Justin Baker
T1743007,2017-10-26,Hacienda Pública. IVA repercutido,477000,0.0,132.94,Justin Baker
T1743007,2017-10-26,Prestaciones de servicios en España,705000,0.0,633.0600000000001,Justin Baker
T1743006,2017-10-26,Clientes (euros),430000,35.0,0.0,Lisa Jackson
T1743006,2017-10-26,Hacienda Pública. IVA repercutido,477000,0.0,6.07,Lisa Jackson
T1743006,2017-10-26,Prestaciones de servicios en España,705000,0.0,28.93,Lisa Jackson
BNK1/2017/0014,2017-10-26,BBVA,572001,70.0,0.0,Michele Williams
BNK1/2017/0014,2017-10-26,Clientes (euros),430000,0.0,70.0,Michele Williams
BILL/2017/0047,2017-10-27,Acreedores por prestaciones de servicios (euros),410000,0.0,108.9,Stephanie Ross
BILL/2017/0047,2017-10-27,Hacienda Pública. IVA soportado,472000,18.9,0.0,Stephanie Ross
BILL/2017/0047,2017-10-27,Servicios de profesionales independientes,623000,90.0,0.0,Stephanie Ross
BILL/2017/0020,2017-10-27,Acreedores por prestaciones de servicios (euros),410000,0.0,24.2,Stephanie Ross
BILL/2017/0020,2017-10-27,Hacienda Pública. IVA soportado,472000,4.2,0.0,Stephanie Ross
BILL/2017/0020,2017-10-27,Servicios de profesionales independientes,623000,20.0,0.0,Stephanie Ross
BNK1/2017/0016,2017-10-27,BBVA,572001,35.0,0.0,Lisa Jackson
BNK1/2017/0016,2017-10-27,Clientes (euros),430000,0.0,35.0,Lisa Jackson
CSH1/2017/0014,2017-10-27,Cash,570001,35.0,0.0,Margaret Hawkins DDS
CSH1/2017/0014,2017-10-27,Clientes (euros),430000,0.0,35.0,Margaret Hawkins DDS
BNK1/2017/0013,2017-10-27,BBVA,572001,37.0,0.0,Monica Herrera
BNK1/2017/0013,2017-10-27,Clientes (euros),430000,0.0,37.0,Monica Herrera
BNK1/2017/0012,2017-10-27,BBVA,572001,5473.0,0.0,Abigail Shaffer
BNK1/2017/0012,2017-10-27,Clientes (euros),430000,0.0,5473.0,Abigail Shaffer
BILL/2017/0029,2017-10-30,Acreedores por prestaciones de servicios (euros),410000,0.0,47.7,Zachary Hicks
BILL/2017/0029,2017-10-30,"Hacienda Pública, acreedora por retenciones practicadas",475100,0.0,6.75,Zachary Hicks
BILL/2017/0029,2017-10-30,Hacienda Pública. IVA soportado,472000,9.45,0.0,Zachary Hicks
BILL/2017/0029,2017-10-30,Servicios de profesionales independientes,623000,45.0,0.0,Zachary Hicks
BILL/2017/0017,2017-10-31,Acreedores por prestaciones de servicios (moneda extranjera),410400,0.0,812.4200000000001,Anthony Rodriguez
BILL/2017/0017,2017-10-31,Hacienda Pública. IVA repercutido,477000,0.0,170.6,Anthony Rodriguez
BILL/2017/0017,2017-10-31,Hacienda Pública. IVA soportado,472000,170.6,0.0,Anthony Rodriguez
BILL/2017/0017,2017-10-31,Servicios de profesionales independientes,623000,812.42,0.0,Anthony Rodriguez
BILL/2017/0065,2017-10-31,Proveedores (euros),400000,0.0,2.7100000000000004,Rebecca Henderson
BILL/2017/0065,2017-10-31,Hacienda Pública. IVA soportado,472000,0.47,0.0,Rebecca Henderson
BILL/2017/0065,2017-10-31,Otros servicios,629000,2.24,0.0,Rebecca Henderson
BILL/2017/0014,2017-10-31,Acreedores por prestaciones de servicios (euros),410000,0.0,1228.06,James Ferrell
BILL/2017/0014,2017-10-31,"Hacienda Pública, acreedora por retenciones practicadas",475100,0.0,173.78,James Ferrell
BILL/2017/0014,2017-10-31,Hacienda Pública. IVA soportado,472000,243.29,0.0,James Ferrell
BILL/2017/0014,2017-10-31,Servicios de profesionales independientes,623000,1158.55,0.0,James Ferrell
BILL/2017/0012,2017-10-31,Acreedores por prestaciones de servicios (euros),410000,0.0,95.24,Holly Wood
BILL/2017/0012,2017-10-31,Hacienda Pública. IVA soportado,472000,16.54,0.0,Holly Wood
BILL/2017/0012,2017-10-31,Servicios de profesionales independientes,623000,20.41,0.0,Holly Wood
BILL/2017/0012,2017-10-31,Servicios de profesionales independientes,623000,58.290000000000006,0.0,Holly Wood
T1744001,2017-10-31,Clientes (euros),430000,3615.0,0.0,Abigail Shaffer
T1744001,2017-10-31,Prestaciones de servicios Intracomunitarias,705100,0.0,3615.0,Abigail Shaffer
T1744004,2017-10-31,Clientes (euros),430000,3186.8600000000006,0.0,Ryan Munoz
T1744004,2017-10-31,Hacienda Pública. IVA repercutido,477000,0.0,553.09,Ryan Munoz
T1744004,2017-10-31,Prestaciones de servicios en España,705000,0.0,2633.7700000000004,Ryan Munoz
BILL/2017/0011,2017-10-31,Acreedores por prestaciones de servicios (euros),410000,0.0,31.8,Tricia Valencia
BILL/2017/0011,2017-10-31,"Hacienda Pública, acreedora por retenciones practicadas",475100,0.0,4.5,Tricia Valencia
BILL/2017/0011,2017-10-31,Hacienda Pública. IVA soportado,472000,6.3,0.0,Tricia Valencia
BILL/2017/0011,2017-10-31,Servicios de profesionales independientes,623000,30.0,0.0,Tricia Valencia
BILL/2017/0013,2017-10-31,Acreedores por prestaciones de servicios (euros),410000,0.0,539.8,Nathan Maldonado
BILL/2017/0013,2017-10-31,Hacienda Pública. IVA soportado,472000,106.94,0.0,Nathan Maldonado
BILL/2017/0013,2017-10-31,"Hacienda Pública, acreedora por retenciones practicadas",475100,0.0,76.39,Nathan Maldonado
BILL/2017/0013,2017-10-31,Servicios de profesionales independientes,623000,509.25,0.0,Nathan Maldonado
BILL/2017/0010,2017-10-31,Acreedores por prestaciones de servicios (euros),410000,0.0,629.69,Debra Davidson
